region,district,customers,avg_sales,median_sales,avg_orders,avg_emp,group
11,60015,112,4376.335,1723.095,19.651785714285715,5.473214285714286,Nicht-ORSY
11,60015,10,29585.061999999998,9829.375,118.4,7.3,ORSY
11,60779,148,2751.1529054054054,1077.275,15.797297297297296,5.587837837837838,Nicht-ORSY
11,60779,11,22895.797272727275,13096.79,98.63636363636364,6.454545454545454,ORSY
11,60796,153,2790.6662091503267,1352.7,17.823529411764707,2.8562091503267975,Nicht-ORSY
11,60796,24,23921.6425,16168.16,106.29166666666667,5.958333333333333,ORSY
11,61070,157,3404.433949044586,1416.77,21.388535031847134,3.031847133757962,Nicht-ORSY
11,61070,17,22644.241176470587,15952.42,88.58823529411765,5.9411764705882355,ORSY
11,61218,65,1426.4775384615384,506.63,9.246153846153845,2.7846153846153845,Nicht-ORSY
11,61218,10,20546.163,14576.759999999998,119.2,5.2,ORSY
11,61299,236,2833.7053389830508,1006.6800000000001,15.90677966101695,3.9364406779661016,Nicht-ORSY
11,61299,8,22660.59375,20381.595,82.875,9.125,ORSY
11,61579,6,390.87833333333333,240.13,3.3333333333333335,5.0,Nicht-ORSY
11,61955,222,3208.9940540540542,596.86,17.34234234234234,3.9504504504504503,Nicht-ORSY
11,61955,19,31987.645789473685,20181.75,142.21052631578948,11.0,ORSY
11,62602,218,2562.739724770642,684.405,14.715596330275229,5.146788990825688,Nicht-ORSY
11,62602,11,20048.965454545454,14604.8,87.63636363636364,5.636363636363637,ORSY
11,63070,147,2737.8004761904763,1138.9,14.231292517006803,4.653061224489796,Nicht-ORSY
11,63070,25,19542.7032,14938.0,97.4,10.04,ORSY
11,63127,77,2280.376233766234,476.66,11.181818181818182,3.25974025974026,Nicht-ORSY
11,63127,24,15534.285833333333,13417.18,74.95833333333333,7.666666666666667,ORSY
11,63322,143,3283.6176923076923,882.65,16.377622377622377,5.545454545454546,Nicht-ORSY
11,63322,10,20612.036,15195.015,75.9,8.9,ORSY
11,63351,146,2116.5571917808215,500.27,9.383561643835616,3.4726027397260273,Nicht-ORSY
11,63351,32,15908.069375000001,13137.98,66.0625,5.71875,ORSY
11,63536,171,1718.2488888888888,701.5,10.403508771929825,3.912280701754386,Nicht-ORSY
11,63536,11,18801.384545454548,13361.14,66.0,4.818181818181818,ORSY
