region,district,flag_new_orsyshelf,customers,avg_sales,avg_orders,avg_emp,share_salesrep,share_branch,share_ebusiness,share_internal,share_others
11,60015,Nicht-ORSY,112,4376.335,19.651785714285715,5.473214285714286,0.25310315879564976,0.43611526981645177,0.18161783702739717,0.129446970280014,-0.00028323591951274563
11,60015,ORSY,10,29585.061999999998,118.4,7.3,0.19700485103881277,0.377333830350166,0.3037440216365554,0.12222190926201988,-0.00030461228755399944
11,60779,Nicht-ORSY,148,2751.1529054054054,15.797297297297296,5.587837837837838,0.24724324202796383,0.5447046742678613,0.14071009169466492,0.06749592189679786,-0.00015392988728792875
11,60779,ORSY,11,22895.797272727275,98.63636363636364,6.454545454545454,0.46182199105488075,0.4076635114636702,0.12532493897691752,0.006283970835938091,-0.0010944123314065512
11,60796,Nicht-ORSY,153,2790.6662091503267,17.823529411764707,2.8562091503267975,0.28144037652888904,0.5582308627392831,0.09852107044332133,0.06253370024244499,-0.0007260099539384549
11,60796,ORSY,24,23921.6425,106.29166666666667,5.958333333333333,0.31998580000470356,0.30408004892558854,0.2706468337637784,0.10631686227430336,-0.001029544968373862
11,61070,Nicht-ORSY,157,3404.433949044586,21.388535031847134,3.031847133757962,0.20948845402285213,0.6873923127333985,0.06362138422545993,0.04081062851300645,-0.001312779494717025
11,61070,ORSY,17,22644.241176470587,88.58823529411765,5.9411764705882355,0.29647708745703255,0.44492542128224816,0.20098027646103506,0.05839030913183198,-0.0007730943321476875
11,61218,Nicht-ORSY,65,1426.4775384615384,9.246153846153845,2.7846153846153845,0.3370327739956612,0.5677084680774123,0.06834301838468068,0.027946992357603943,-0.0010312528153581472
11,61218,ORSY,10,20546.163,119.2,5.2,0.6271251237900559,0.03973074386408916,0.32053276891089444,0.012611363434960502,0.0
11,61299,Nicht-ORSY,236,2833.7053389830508,15.90677966101695,3.9364406779661016,0.17382573771138285,0.7739117258135306,0.03621920903674609,0.015913275288360607,0.00013005214997982838
11,61299,ORSY,8,22660.59375,82.875,9.125,0.3487960212180984,0.47230136231368813,0.113735118387421,0.06906695968518302,-0.003899461604390505
11,61579,Nicht-ORSY,6,390.87833333333333,3.3333333333333335,5.0,0.16666666666666666,0.8333333333333334,0.0,0.0,0.0
11,61955,Nicht-ORSY,222,3208.9940540540542,17.34234234234234,3.9504504504504503,0.17314400238678615,0.7310936878155695,0.055354512468953045,0.04075738655565531,-0.0003495892269640525
11,61955,ORSY,19,31987.645789473685,142.21052631578948,11.0,0.2389290504206535,0.5061045840128666,0.17785475876920928,0.07833022421325797,-0.0012186174159873062
11,62602,Nicht-ORSY,218,2562.739724770642,14.715596330275229,5.146788990825688,0.14258162698163385,0.577914032303346,0.2121067975708008,0.06748135160950772,-8.380846528843126e-05
11,62602,ORSY,11,20048.965454545454,87.63636363636364,5.636363636363637,0.33787075188447957,0.4428228710974443,0.13409803878507195,0.08580843083739437,-0.0006000926043901531
11,63070,Nicht-ORSY,147,2737.8004761904763,14.231292517006803,4.653061224489796,0.17608810556736115,0.6156462862258276,0.130495435427528,0.07844947922761121,-0.0006793064483279393
11,63070,ORSY,25,19542.7032,97.4,10.04,0.3360926265243851,0.37476286128042113,0.2520264697763216,0.037401724467669185,-0.00028368204879703445
