cust_id,region,district,branch_office,market_seg,emp_count,potential,sales,rev_salesrep,rev_branch_office,rev_ebusiness,rev_internal_staff,rev_others,contr_margin,sales_orsy_relevant,orders_count,avg_order_pos,diff_products_count,diff_product_fields_count,dunning_level_current,dunning_level_highest,last_buy,cust_since,bo_visits_total,bo_visits_distinct,bo_highest_sales,calls_count,eshop_logins_count,ccp_most_used,count_buydays,count_buyweeks,count_buymonths,flag_app,flag_eproc,flag_eshop,flag_red,flag_new_orsyshelf,flag_orsyonline,flag_orsyfleet,flag_clickandcollect,flag_sofortservice,flag_s24
99520,12,64106,N770,0003,2,2700.0,44.72,0.0,44.72,0.0,0.0,0.0,19.46,0.0,5,2.2,3,5,0,3,2023-05-02,2020-08-18,2.0,1.0,N772,0.0,0.0,2,3,3,3,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
21927,16,63613,N700,0003,3,13500.0,1823.21,1612.47,210.74,0.0,0.0,0.0,323.13,1507.1,5,2.4,3,3,0,1,2023-08-16,2020-09-29,1.0,1.0,N700,0.0,0.0,1,5,5,5,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
80540,12,63805,N180,0005,1,2800.0,1050.5,225.0,825.5,0.0,0.0,0.0,392.36,443.44,5,2.0,6,4,0,0,2023-07-07,2020-10-20,4.0,2.0,N115,0.0,6.0,2,5,5,5,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
32555,16,63121,N700,0001,1,4400.0,1219.24,39.12,1180.12,0.0,0.0,0.0,713.45,676.16,9,3.22,21,7,0,3,2023-08-17,2021-01-29,8.0,3.0,N170,0.0,32.0,2,8,8,7,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
37141,12,64116,N190,0015,10,22500.0,10832.72,0.0,4516.96,6315.76,0.0,0.0,5893.66,473.17,20,2.6,26,7,0,4,2023-09-21,2021-02-03,16.0,1.0,N275,0.0,18.0,2,20,18,9,0.0,0.0,1.0,0.0,0,0,0,0.0,0.0,0.0
50884,12,63838,N110,0003,2,4400.0,350.97,162.84,0.0,188.13,0.0,0.0,229.16,14.5,3,2.0,4,4,1,1,2023-08-30,2021-02-26,0.0,0.0,,0.0,8.0,3,3,3,3,1.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
92618,17,66001,,0021,2,8500.0,304.01,0.0,304.01,0.0,0.0,0.0,192.94,176.16,7,2.0,12,6,0,2,2023-09-08,2021-05-14,7.0,4.0,N930,2.0,43.0,2,7,7,5,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
24007,11,61070,N260,0023,2,8200.0,2854.22,148.74,2831.78,-126.3,0.0,0.0,1523.47,1636.64,23,4.87,87,11,0,1,2023-09-27,2021-07-02,22.0,2.0,N264,0.0,32.0,2,19,16,10,0.0,0.0,0.0,0.0,0,0,0,1.0,0.0,0.0
74659,17,68355,N420,0007,2,7300.0,203.32,90.05,113.27,0.0,0.0,0.0,133.86,139.72,5,1.4,6,5,0,1,2023-02-20,2021-08-14,3.0,1.0,N726,0.0,0.0,1,5,4,3,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
64407,12,62098,N770,0005,12,36900.0,105089.11,46176.41,6543.79,49450.21,2918.7,0.0,69331.54,71227.86,143,3.95,236,14,0,1,2023-09-29,2021-10-26,27.0,3.0,N739,0.0,273.0,3,110,50,14,0.0,0.0,1.0,0.0,0,0,0,0.0,0.0,1.0
57514,12,61058,N970,0003,1,900.0,14.74,14.74,0.0,0.0,0.0,0.0,9.58,0.0,1,4.0,3,2,0,2,2023-04-19,2021-11-11,0.0,0.0,,4.0,0.0,1,1,1,1,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0
78339,11,63322,N710,0008,2,3000.0,73.54,73.54,0.0,0.0,0.0,0.0,30.72,47.7,1,2.0,2,1,0,0,2023-04-12,2022-01-12,0.0,0.0,,0.0,0.0,1,1,1,1,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
81147,12,61058,N115,0018,5,20800.0,454.81,0.0,454.81,0.0,0.0,0.0,273.82,232.21,7,3.14,17,7,0,0,2023-09-28,2022-01-27,7.0,2.0,N100,0.0,5.0,2,7,7,6,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
36569,14,63007,N166,0003,3,5800.0,922.14,0.0,922.14,0.0,0.0,0.0,499.79,674.89,4,7.5,24,6,0,0,2023-05-12,2022-02-01,3.0,1.0,N166,0.0,0.0,2,4,4,4,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
65693,13,63313,N500,0003,5,6200.0,2.46,0.0,2.46,0.0,0.0,0.0,0.38,0.0,1,1.0,1,1,0,0,2023-09-27,2022-04-18,1.0,1.0,N863,0.0,0.0,2,1,1,1,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
17614,14,63085,N120,0021,0,0.0,7077.45,6675.7,96.81,0.0,304.94,0.0,2977.17,3037.82,39,5.56,90,10,0,0,2023-09-22,2022-05-25,1.0,1.0,N130,0.0,0.0,1,35,28,9,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0
81283,17,64094,N800,0015,2,6000.0,3.58,0.0,3.58,0.0,0.0,0.0,2.24,0.0,1,1.0,1,1,0,0,2023-07-04,2022-06-22,1.0,1.0,N804,0.0,13.0,2,1,1,1,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
49691,13,63512,N760,0021,2,6000.0,478.32,0.0,478.32,0.0,0.0,0.0,211.56,362.92,5,3.0,14,5,0,0,2023-07-17,2022-07-15,5.0,2.0,N886,0.0,17.0,2,5,5,4,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
55440,16,63613,N700,0015,2,6000.0,5004.66,0.0,5004.66,0.0,0.0,0.0,3035.41,3341.16,34,2.85,77,12,0,2,2023-09-12,2022-07-29,34.0,6.0,N700,0.0,0.0,2,25,21,11,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
19769,11,68155,N260,0008,1,3000.0,421.63,421.63,0.0,0.0,0.0,0.0,204.31,25.12,2,3.5,6,4,0,3,2023-03-01,2022-11-09,0.0,0.0,,0.0,3.0,1,2,2,2,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
19531,13,63129,N820,0026,0,0.0,12255.56,3303.72,8951.84,0.0,0.0,0.0,6835.75,4244.23,45,5.24,107,10,2,0,2023-07-17,2022-12-22,31.0,4.0,N434,0.0,17.0,2,27,15,7,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0
52480,17,62611,N859,0026,0,0.0,2336.61,2336.61,0.0,0.0,0.0,0.0,895.96,1633.65,4,15.25,45,8,0,0,2023-05-16,2023-01-18,0.0,0.0,,0.0,0.0,1,2,2,1,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
72639,13,63313,N631,0003,2,6000.0,24.83,0.0,24.83,0.0,0.0,0.0,16.97,24.83,1,2.0,2,1,0,0,2023-02-07,2023-02-07,1.0,1.0,N545,0.0,0.0,2,1,1,1,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
75690,13,61652,N885,0013,1,3000.0,213.48,80.96,132.52,0.0,0.0,0.0,56.03,75.6,4,1.25,4,3,0,0,2023-05-15,2023-03-03,3.0,2.0,N885,0.0,0.0,2,4,3,2,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
56448,11,63070,N260,0023,10,30000.0,189.92,0.0,189.92,0.0,0.0,0.0,98.16,26.78,3,1.67,5,4,0,0,2023-08-17,2023-03-24,3.0,1.0,N425,0.0,31.0,2,2,1,1,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
64146,13,64089,N630,0015,3,9000.0,879.87,262.8,617.07,0.0,0.0,0.0,375.11,440.27,8,3.38,22,9,1,1,2023-09-29,2023-04-04,7.0,2.0,N630,0.0,0.0,2,8,7,4,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
40961,17,63433,N790,0023,1,3000.0,2547.17,0.0,2547.17,0.0,0.0,0.0,843.87,26.77,8,1.88,7,5,9,4,2023-07-12,2023-06-12,4.0,2.0,N790,0.0,0.0,2,4,3,2,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
57033,15,62083,N785,0003,4,12000.0,887.58,0.0,887.58,0.0,0.0,0.0,419.12,107.67,3,5.33,16,7,9,4,2023-08-09,2023-06-13,3.0,1.0,N786,0.0,0.0,2,3,3,2,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
50478,15,60394,N740,0013,2,6000.0,4838.32,125.68,4712.64,0.0,0.0,0.0,2025.0,1715.74,17,4.18,55,13,0,3,2023-09-18,2023-07-11,15.0,3.0,N741,0.0,5.0,2,9,6,3,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
50350,13,63684,N610,0005,3,9100.0,9234.92,8252.86,760.3,221.76,0.0,0.0,2601.78,1072.81,15,4.67,52,7,0,2,2023-09-25,1980-04-01,4.0,2.0,N632,0.0,10.0,1,14,13,8,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
85848,16,64028,N750,0013,6,57500.0,10472.02,0.0,10320.69,162.94,0.0,-11.61,6890.01,5796.31,48,7.98,211,16,0,1,2023-09-27,2006-03-15,43.0,3.0,N756,0.0,111.0,2,42,31,12,1.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
98404,16,64122,N830,0018,5,18400.0,50950.19,17920.36,21390.08,2900.83,8738.92,0.0,20908.23,9131.8,60,5.58,252,16,0,3,2023-09-22,1980-10-01,21.0,4.0,N835,0.0,1.0,1,46,33,14,1.0,0.0,1.0,0.0,1,0,0,0.0,0.0,1.0
44286,17,63122,N410,0021,3,10600.0,209.38,22.05,61.89,0.0,125.44,0.0,117.26,61.11,3,3.33,7,5,0,1,2023-02-10,1979-02-01,1.0,1.0,N882,0.0,0.0,2,3,3,2,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
77627,17,66001,N940,0021,6,24900.0,13688.23,10630.27,3057.96,0.0,0.0,0.0,7630.07,7149.51,50,6.12,106,12,0,1,2023-09-28,1978-12-01,15.0,6.0,N826,0.0,3.0,1,39,32,13,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0
78771,18,64076,N840,0003,3,5100.0,281.2,0.0,281.2,0.0,0.0,0.0,176.12,121.57,5,1.8,6,2,0,4,2023-06-28,2003-04-22,4.0,3.0,N864,0.0,1.0,2,5,5,4,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
63729,16,63121,N920,0005,3,9100.0,7458.64,7458.64,0.0,0.0,0.0,0.0,2442.95,5347.57,16,4.19,55,9,0,1,2023-09-11,1990-01-15,0.0,0.0,,0.0,0.0,1,14,13,9,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0
41600,13,62050,N500,0023,4,12700.0,965.97,50.5,659.52,255.95,0.0,0.0,598.3,305.12,14,1.86,16,8,0,1,2023-09-20,1981-03-01,10.0,2.0,N508,0.0,10.0,2,11,9,7,0.0,0.0,1.0,0.0,0,0,0,1.0,0.0,1.0
41700,12,62799,N300,0003,5,7500.0,19086.11,7589.89,11208.18,0.0,327.0,-38.96,11984.31,11072.79,61,6.28,248,14,2,2,2023-09-29,1995-03-29,43.0,15.0,N106,1.0,0.0,2,50,32,14,0.0,0.0,0.0,1.0,0,1,0,0.0,0.0,0.0
93257,12,61058,N110,0018,2,16800.0,1107.04,0.0,0.0,908.15,198.89,0.0,531.76,160.2,6,4.5,15,6,0,2,2023-09-05,2001-09-27,0.0,0.0,,5.0,34.0,3,6,6,6,0.0,0.0,1.0,0.0,0,0,0,0.0,0.0,0.0
39830,16,63342,N920,0002,3,9500.0,21523.88,88.8,18220.46,0.0,3214.62,0.0,9500.8,9884.35,95,4.27,310,18,0,2,2023-09-27,2004-06-14,75.0,2.0,N843,0.0,57.0,2,80,45,13,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0
39063,14,68150,N130,0005,2,7300.0,1595.14,1312.2,282.94,0.0,0.0,0.0,788.78,370.98,11,3.36,27,8,2,2,2023-08-18,1998-05-28,3.0,2.0,N133,0.0,2.0,1,9,8,7,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
52614,17,64094,N930,0013,2,11100.0,224.15,0.0,224.15,0.0,0.0,0.0,119.87,67.58,2,3.5,5,4,0,1,2022-11-30,2000-06-02,2.0,2.0,N930,0.0,0.0,2,2,2,1,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
55663,11,60015,,0003,3,75700.0,1633.31,0.0,0.0,1633.31,0.0,0.0,1058.58,125.7,12,2.25,10,6,0,1,2023-08-29,2005-08-23,0.0,0.0,,0.0,35.0,3,12,10,9,0.0,0.0,1.0,0.0,0,0,0,0.0,0.0,0.0
56524,15,66056,N780,0006,4,29500.0,18983.77,15761.74,3222.03,0.0,0.0,0.0,9355.2,5350.2,41,5.71,151,15,0,1,2023-09-28,2000-01-28,10.0,2.0,N738,0.0,0.0,1,36,26,14,0.0,0.0,0.0,1.0,1,1,0,0.0,0.0,0.0
89226,11,64033,N640,0018,4,23900.0,13280.63,22.7,8405.3,4486.58,366.05,0.0,7975.32,6825.99,105,2.8,166,13,0,1,2023-09-26,1982-08-20,74.0,2.0,N645,0.0,77.0,2,88,43,12,1.0,0.0,1.0,0.0,1,0,0,0.0,0.0,1.0
50846,11,64033,N640,0018,10,76400.0,7139.34,0.0,6880.24,259.1,0.0,0.0,4771.14,4216.77,56,2.86,98,11,0,2,2023-09-28,2004-07-19,53.0,9.0,N504,0.0,4.0,2,50,33,12,0.0,0.0,1.0,0.0,0,0,0,0.0,0.0,1.0
74983,12,61222,N770,0018,2,8900.0,383.03,0.0,383.03,0.0,0.0,0.0,203.43,205.16,7,2.86,17,4,0,1,2023-08-08,1984-07-11,7.0,1.0,N834,0.0,7.0,2,7,7,6,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
68751,18,63980,N840,0004,10,54100.0,35760.43,31689.1,129.0,3961.23,0.0,-18.9,16254.3,20710.25,62,3.37,124,11,0,2,2023-09-29,1984-09-11,1.0,1.0,N840,0.0,31.0,1,54,37,13,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
51566,18,61003,N600,0017,3,10600.0,968.72,315.34,653.38,0.0,0.0,0.0,604.49,369.3,10,2.4,22,8,0,1,2023-09-27,1991-07-18,8.0,1.0,N601,0.0,6.0,2,10,10,7,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
97672,17,64021,N400,0021,2,7500.0,21.42,21.42,0.0,0.0,0.0,0.0,12.88,0.0,1,5.0,5,1,0,2,2023-06-02,1986-08-14,0.0,0.0,,0.0,0.0,1,1,1,1,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0
24023,17,64107,N620,0015,3,11900.0,6802.38,442.89,1164.41,5195.08,0.0,0.0,2036.74,224.58,22,2.09,23,9,0,1,2023-08-22,1992-07-21,9.0,4.0,N628,0.0,58.0,3,18,17,9,0.0,0.0,1.0,0.0,0,0,0,1.0,0.0,0.0
26006,16,62222,N540,0002,2,6800.0,1026.84,85.5,941.34,0.0,0.0,0.0,689.82,575.26,14,1.93,25,7,0,4,2023-09-01,1993-10-06,13.0,1.0,N543,0.0,0.0,2,13,10,7,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
33879,16,61029,N530,0013,2,31400.0,27089.17,5887.8,200.13,20596.66,548.28,-143.7,14639.53,15306.62,158,3.24,197,14,0,1,2023-09-28,1993-10-13,3.0,2.0,N530,0.0,91.0,3,129,56,14,0.0,0.0,1.0,1.0,1,1,0,0.0,0.0,0.0
22811,14,61041,N971,0003,2,8500.0,1101.32,0.0,224.58,876.74,0.0,0.0,652.75,138.33,9,2.22,12,4,0,1,2023-08-15,2005-01-05,4.0,1.0,N971,1.0,7.0,3,8,8,5,0.0,1.0,1.0,0.0,0,0,0,0.0,0.0,0.0
32674,13,62998,N270,0009,3,6500.0,568.98,0.0,176.28,392.7,0.0,0.0,343.01,0.0,3,1.0,2,2,0,0,2023-07-12,2005-01-11,2.0,1.0,N270,0.0,9.0,3,3,3,2,0.0,0.0,1.0,0.0,0,0,0,1.0,0.0,0.0
92777,12,62098,N300,0004,6,16100.0,15461.72,8116.39,103.07,7242.26,0.0,0.0,5362.82,5403.97,58,3.9,130,12,0,1,2023-09-26,2001-03-30,1.0,1.0,N299,0.0,111.0,3,52,34,13,1.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
69829,17,64021,N400,0023,3,13200.0,229.82,0.0,229.82,0.0,0.0,0.0,196.42,17.4,3,1.67,4,3,0,1,2023-05-26,1996-07-12,3.0,1.0,N403,0.0,0.0,2,3,3,3,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
44829,12,63445,N770,0009,1,200.0,378.81,0.0,378.81,0.0,0.0,0.0,161.13,207.5,11,2.73,27,6,0,2,2023-05-22,2002-11-11,11.0,1.0,N658,0.0,0.0,2,11,8,5,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
99057,16,63340,N750,0003,4,4500.0,8442.68,80.22,8362.46,0.0,0.0,0.0,5708.92,4281.23,23,10.04,135,12,0,1,2023-09-28,1996-11-27,21.0,2.0,N750,0.0,0.0,2,22,21,12,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
19424,11,61955,N870,0013,5,44900.0,196.38,0.0,196.38,0.0,0.0,0.0,129.79,87.39,4,2.5,8,6,0,1,2023-09-19,2003-07-23,4.0,2.0,N838,0.0,0.0,2,3,3,2,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
10621,18,61003,N840,0013,2,50800.0,284.47,0.0,284.47,0.0,0.0,0.0,177.87,65.07,2,4.0,8,5,0,0,2023-07-04,1997-03-11,2.0,2.0,N840,0.0,0.0,2,2,2,2,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
49690,18,61270,N560,0015,6,11300.0,3019.85,1594.08,586.32,839.45,0.0,0.0,1410.5,0.0,8,2.88,5,3,0,0,2023-09-18,2003-07-24,2.0,1.0,N538,0.0,9.0,1,8,8,7,1.0,0.0,1.0,0.0,0,0,0,0.0,0.0,0.0
75792,16,61619,N564,0008,1,1200.0,3113.42,999.25,1837.41,276.76,0.0,0.0,1036.99,1238.14,19,3.42,56,11,0,1,2023-09-13,1997-05-13,5.0,2.0,N564,0.0,177.0,1,17,17,11,1.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
34332,14,63382,N135,0007,6,19800.0,8845.43,1204.33,205.37,1230.43,6205.3,0.0,3616.49,886.68,23,2.48,40,10,0,0,2023-08-31,1992-04-22,1.0,1.0,N135,0.0,12.0,1,22,20,10,0.0,0.0,1.0,0.0,0,0,0,1.0,0.0,1.0
46865,11,60015,N260,0003,1,3900.0,966.04,67.5,898.54,0.0,0.0,0.0,586.52,416.69,18,3.06,49,12,0,2,2023-07-21,2003-02-06,16.0,2.0,N260,0.0,0.0,2,18,15,9,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0
85587,12,62980,N170,0002,5,25300.0,10140.68,9716.02,424.66,0.0,0.0,0.0,4467.39,2354.42,14,6.64,48,14,0,1,2023-09-15,1992-11-09,3.0,3.0,N173,0.0,0.0,1,9,9,8,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
66509,14,61460,N130,0023,8,25600.0,983.86,192.06,717.48,74.32,0.0,0.0,592.62,504.21,14,1.86,21,9,0,2,2023-08-15,1993-08-26,8.0,3.0,N157,0.0,32.0,2,13,11,6,0.0,0.0,1.0,0.0,0,0,0,0.0,0.0,0.0
82562,14,64114,N157,0015,8,10100.0,2204.76,2116.2,88.56,0.0,0.0,0.0,960.65,613.24,6,6.17,32,8,0,1,2023-03-17,1994-06-03,1.0,1.0,N142,0.0,0.0,1,5,5,4,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
57224,12,61996,N300,0013,6,31800.0,16488.02,3402.14,5757.43,7240.89,87.56,0.0,7632.7,5760.29,34,4.21,80,13,0,1,2023-09-22,1997-08-19,19.0,4.0,N320,0.0,315.0,3,29,24,11,1.0,0.0,1.0,0.0,0,0,0,0.0,0.0,0.0
99739,16,62222,N564,0002,4,91700.0,202.45,0.0,166.93,0.0,35.52,0.0,142.57,102.53,5,1.4,5,4,0,1,2023-09-25,1997-12-22,4.0,2.0,N572,0.0,0.0,2,5,5,4,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
65125,18,64988,N560,0018,4,21700.0,3131.21,2091.32,294.17,745.72,0.0,0.0,1645.05,1235.77,18,5.94,70,12,0,2,2023-08-28,1997-11-18,3.0,1.0,N560,0.0,23.0,1,14,14,8,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0
94317,13,64085,,0001,2,13300.0,1032.87,0.0,993.07,39.8,0.0,0.0,615.46,469.88,13,2.23,24,5,0,2,2023-07-13,1997-12-04,13.0,4.0,N537,0.0,3.0,2,11,9,8,0.0,0.0,0.0,0.0,0,0,0,1.0,0.0,0.0
