market_seg,customers,orsy_rate,sales_sum,sales_mean
4,834,0.3069544364508393,7582446.31,9091.662242206234
18,2548,0.13814756671899528,11741996.47,4608.318865777081
13,2773,0.13703570140641905,19286819.25,6955.21790479625
2,2065,0.12009685230024213,13826398.28,6695.5923874092005
7,1686,0.11921708185053381,7354551.74,4362.130332147094
17,831,0.11070998796630566,4796224.64,5771.6301323706375
21,2300,0.10695652173913044,11260693.9,4895.953869565217
6,756,0.10185185185185185,2109155.3,2789.887962962963
1,1816,0.09911894273127753,9471931.44,5215.821277533039
5,1191,0.09571788413098237,2428343.67,2038.9115617128464
23,2539,0.08822371012209532,14507084.93,5713.700248129185
26,453,0.05077262693156733,2143224.01,4731.178830022074
9,1602,0.04556803995006242,4053334.84,2530.171560549313
3,3323,0.03912127595546193,8373058.39,2519.728675895275
8,1696,0.0347877358490566,3109217.84,1833.2652358490566
15,3080,0.033766233766233764,8701664.2,2825.215649350649
